province;red;green;blue;x;x
884;32;47;76;Tripolitana;x
885;76;46;45;Marmarica;x
886;123;255;96;Shule;x
887;255;212;132;Qiuci;x
888;63;255;194;Yanqi;x
889;68;180;255;Guhu;x
890;156;28;255;Loulan;x
891;38;74;255;Qiemo;x
892;25;239;255;Hanmi;x
893;255;44;40;Yutian;x
894;255;56;238;Suoju;x
895;255;170;232;Wutanzili;x
896;178;191;255;Jumi;x
897;156;35;255;Danhuan;x
898;255;255;160;Yulishi;x
899;165;255;173;Pulei;x
900;142;68;73;Gholaia;x
901;100;142;79;Sciueref;x
902;196;134;41;Zella;x
903;49;91;89;Gat;x
904;114;181;120;Djanet;x
905;72;55;89;Djado;x
906;95;149;181;Kawar;x
907;45;89;19;Tumma;x
908;89;60;60;Zuila;x
909;113;72;142;Tazerbo;x
910;29;142;67;Koufra;x
912;32;83;64;Turobriga;x
913;83;132;114;Segida;x
914;177;46;220;Artigi;x
915;193;113;219;Munigua;x
916;23;163;112;Lastigi;x
917;49;225;203;Osset;x
918;150;132;114;Hispalis;x
919;121;137;135;Carissa;x
920;60;135;127;Gadir;x
921;84;169;159;Carteia;x
922;133;152;149;Suel;x
923;68;160;149;Sabora;x
924;129;34;160;Segida;x
925;20;68;62;Malaca;x
926;161;224;217;Sexi;x
927;46;150;138;Murgi;x
928;176;127;77;Mirobriga;x
929;218;183;148;Corduba;x
930;159;176;77;Edeba;x
931;151;221;98;Laminium;x
932;98;221;110;Libisosa;x
933;20;135;31;Iniesta;x
934;123;151;102;Kili;x
935;159;134;109;Saguntum;x
936;154;83;11;Dianum;x
937;146;224;89;Saetabis;x
938;64;118;24;Ilorci;x
939;218;139;59;Carthago Nova;x
940;85;101;13;Bergastrum;x
941;103;185;43;Tugia;x
942;112;64;17;Basti;x
943;188;121;55;Acci;x
944;100;90;80;Ulia;x
945;140;203;205;Ossonoba;x
946;36;143;147;Lacobriga;x
947;50;119;122;Myrtilis;x
948;60;86;87;Ebora;x
949;65;79;100;Olisipo;x
950;82;128;198;Scallabis;x
951;53;116;210;Ammaia;x
952;130;170;230;Badua;x
953;89;115;155;Egitania;x
954;29;108;226;Collippo;x
955;72;93;125;Longobriga;x
956;20;39;68;Talabriga;x
957;136;70;91;Bracara;x
958;149;18;138;Glandimirum;x
959;207;107;199;Brigantium;x
960;211;107;203;Coana;x
961;242;146;176;Lance;x
962;111;26;52;Asturica;x
963;173;56;92;Compleutica;x
964;92;88;175;Indibilis;x
965;145;23;115;Olcastrum;x
966;150;16;117;Tarraco;x
967;197;63;104;Baetulo;x
968;41;155;142;Emporion;x
969;187;55;95;Sebendounon;x
970;145;23;60;Auso;x
971;214;30;169;Ilerda;x
972;157;227;219;Urgellum;x
973;129;63;83;Labitulosa;x
974;15;10;114;Osca;x
975;49;47;90;Contrebia;x
976;157;155;211;Loutia;x
977;99;113;150;Bilbilis;x
978;40;79;177;Numantia;x
979;103;98;200;Segia;x
980;43;37;161;Oiasso;x
981;22;19;80;Victoriacum;x
982;58;50;211;Gebala;x
983;178;128;67;Pelva;x
984;32;24;178;Metulum;x
985;255;109;225;Marsonia;x
986;11;30;28;Pyrenees;x
987;69;168;102;Gaetulia;x
988;148;168;77;Targa;x
989;89;165;161;Wasteland west of Zella;x
990;165;148;49;Syrtica;x
991;40;47;41;Taklamakan;x
992;32;78;40;Tibet;x
993;105;36;54;Dandaka;x
994;144;134;220;India;x
995;64;50;167;Arabia;x
996;10;191;116;Ethiopia;x
997;33;198;142;Sahara Desert;x
998;21;79;32;Alpine mountains;x
999;84;30;83;Carpathian Mountains;x
1000;64;114;79;Neviodunum;x
1001;245;245;245;Tiberias Lake;x
1002;235;235;235;Israel sea;x
1003;68;71;117;Serota;x
1004;215;215;215;Anatolia Lake east;x
1005;205;205;205;Anatolia Lake west;x
1006;195;195;195;Epirus Border Lake;x
1007;185;185;185;Macedonia Lake east;x
1008;175;175;175;Macedonia Lake west;x
1009;165;165;165;Croatian Lake;x
1010;155;155;155;Tunisian Lake north;x
1011;145;145;145;Tunisian Lake south;x
1012;135;135;135;Mesopitamian Lake;x
1013;125;125;125;Armenian Lake west;x
1014;115;115;115;Armenian Lake east;x
1015;105;105;105;Armenian Lake middle;x
1016;95;95;95;Armenian Lake north;x
1017;85;85;85;Kaspian Sea;x
1018;75;75;75;Kaspian Lake;x
1019;65;65;65;Parthian Lake;x
1020;55;55;55;Aral Sea;x
1021;45;45;45;Bactrian Lake Big;x
1022;35;35;35;Bactrian Lake Small;x
1023;0;0;30;Sea of Marmara;x
1024;0;0;35;Western Black Sea;x
1025;0;0;40;Sea of Tyras;x
1026;0;0;45;Eastern Black Sea;x
1027;0;0;50;Sea of Azov;x
1028;183;90;90;Thracian Sea;x
1029;128;148;65;Aegean Sea;x
1030;139;152;98;Myrtoan sea;x
1031;225;32;32;Sea of Crete;x
1032;84;184;103;Pamphilian sea;x
1033;41;173;174;Sea of Cyprus;x
1034;133;153;39;Levantine sea;x
1035;158;170;101;Delta sea;x
1036;197;236;13;Sea of Amunia;x
1037;153;40;117;Cyrenean sea;x
1038;129;55;164;Libyan sea;x
1039;71;22;145;Malta channel;x
1040;192;59;197;Sicilian Strait;x
1041;176;102;206;Hipponensis Sinus;x
1042;212;195;76;Sea of Sardinia;x
1043;60;47;128;Ligurian Sea;x
1044;147;131;228;Tyrrhenian Sea;x
1045;106;31;219;Strait of Messina;x
1046;31;81;65;Gulf of Tarentum;x
1047;132;62;110;Ionian Sea;x
1048;59;10;43;Gulf of Corinth;x
1049;71;133;113;Adriatic sea;x
1050;161;211;163;Illyrian sea;x
1051;95;231;98;Gulf of Venice;x
1052;22;141;89;Red Sea;x
1053;96;231;172;Ethiopian sea;x
1054;21;144;119;Southern sea;x
1055;74;166;177;Gulf of Berbera;x
1056;43;215;235;Sea of Dioscurides;x
1057;91;32;152;Arabian Sea;x
1058;40;56;75;Sea of Gedrosia;x
1059;80;102;129;Persian Gulf;x
1060;43;103;178;Indian sea;x
1061;91;114;142;Midwest Indian sea;x
1062;32;60;95;Southwest Indian sea;x
1063;107;190;138;Southern Indian sea;x
1064;47;159;89;Srilankan sea;x
1065;43;213;107;Southeastern Indian sea;x
1066;81;174;96;Eastern Indian sea;x
1067;64;209;87;Northeastern Indian sea;x
1068;98;91;45;Masaesyli Mare;x
1069;110;99;21;Herculis Mare;x
1070;219;212;158;Tingitana Mare;x
1071;86;255;240;Balkhash;x
1072;104;222;255;Kopaias Lacus;x
1073;65;216;216;Ibericum Mare;x
1074;40;211;208;Lusitanium Mare;x
1075;80;191;211;Artabris Sinus;x
1076;97;211;177;Cantabricus Oceanus;x
1077;57;209;211;Aquitanicus Sinus;x
1078;108;199;204;Britannicum Mare;x
1079;124;182;204;Fretum Oceani;x
1080;116;204;183;Metaris Eischusis;x
1081;46;204;172;Ouergionios Okeanos;x
1082;97;204;173;Iouernikos Okeanos;x
1083;132;204;193;Ganganus Oceanus;x
1084;79;193;204;Nagnatum Oceanus;x
1085;95;189;204;Dounon Kolpos;x
1086;26;204;186;Bodotria Aestuarium;x
1087;89;204;179;Douekaledonios Okeanos;x
1088;63;178;204;Dytikos Okeanos;x
1089;123;185;216;Codanus Sinus;x
1090;65;214;216;Helinium;x
1091;117;215;216;Flevum Lacus;x
1092;107;35;112;Celeia;x
1093;13;38;112;Iovia;x
1094;112;41;76;Aquincum;x
1095;107;109;39;Gorsium;x
1096;126;58;165;Mogentiana;x
1097;63;29;76;Savaria;x
1098;76;67;66;Poetovio;x
1099;58;76;71;Pola;x
1100;132;65;147;Teurnia;x
1101;63;147;131;Lauriacum;x
1102;147;65;73;Cetium;x
1103;75;147;147;Vindobona;x
1104;77;132;165;Brigetio;x
1105;54;165;147;Mursella;x
1106;205;58;255;Panormos;x
1107;193;32;27;Adranon;x
1108;100;193;184;Hippana;x
1109;5;33;191;Motyon;x
1110;190;164;191;Henna;x
1111;68;191;187;Morgantina;x
1112;143;161;193;Akragas;x
1113;159;191;78;Tyndaris;x
1114;255;2;217;Hipponion;x
1115;125;255;96;Locris;x
1116;168;221;97;Caprasia;x
1117;221;221;70;Potentia;x
1118;219;37;195;Lupiae;x
1119;53;64;186;Barium;x
1120;89;102;219;Grumentum;x
1121;191;59;79;Aeclanum;x
1122;109;8;13;Aufidena;x
1123;89;107;83;Histonium;x
1124;216;80;205;Mevaniola;x
1125;147;98;0;Saena;x
1126;22;73;18;Marruvium;x
1127;59;42;71;Aquileia;x
1128;71;16;32;Opilergum;x
1129;112;65;79;Dertona;x
1130;186;59;162;Bergomum;x
1131;76;43;64;Cremona;x
1132;112;23;39;Mutina;x
1133;83;73;255;Tartessos;x
1134;255;153;193;Praesidium;x
1135;145;141;33;Salacia;x
1136;65;85;216;Ilici;x
1137;104;209;216;Lucentum;x
1138;85;103;219;Sucia;x
1139;219;63;125;Tongobriga;x
1140;150;105;175;Malamoneda;x
1141;41;46;158;Urbiaca;x
1142;158;120;64;Lassira;x
1143;49;171;198;Capera;x
1144;89;24;18;Mantua;x
1145;66;56;27;Tourmogon;x
1146;99;30;96;Conimpriga;x
1147;63;45;62;Elbocoris;x
1148;14;22;61;Caladunum;x
1149;30;61;22;Dactionum;x
1150;64;80;206;Gigia;x
1151;108;204;197;Uttaris;x
1152;57;43;255;Ocelum;x
1153;221;31;78;Pailontion;x
1154;111;175;79;Alisanco;x
1155;110;15;112;Celsa;x
1156;51;112;60;Andelos;x
1157;75;66;206;Nooulon;x
1158;27;27;186;Ruscino;x # South Gaul start
1159;186;39;93;Narbo Martius;x
1160;186;148;152;Baeterrae;x
1161;170;156;62;Lattara;x
1162;55;186;136;Nemausus;x
1163;86;99;160;Pergantion;x
1164;165;53;116;Griselica;x
1165;62;165;131;Noiomagos;x
1166;229;229;43;Venetonimagus;x
1167;102;28;21;vienna;x
1168;45;91;102;Brugetia;x
1169;168;41;31;Andusia;x
1170;146;168;149;Alba Helviorum;x
1171;255;82;66;Luteva;x
1172;35;46;255;Albiga;x
1173;53;255;53;Bassiacum;x
1174;255;224;73;Tolosa;x
1175;147;29;57;Elimberrum;x
1176;20;13;147;Tarba;x
1177;11;147;147;Elusa;x
1178;126;147;39;Benehardum;x
1179;30;34;255;Iluro;x
1180;147;19;141;Aquae Terebellicae;x
1181;255;35;72;Boii;x
1182;147;146;144;Burdigala;x
1183;234;81;255;Noulomagos;x
#1184;119;107;255;Gesocribate;x # North Gaul start
#1185;255;61;171;Vorgium;x
#1186;2;255;23;Darioritum;x
#1187;255;241;53;Fanum Martis;x
#1188;255;12;0;Namnetum;x
#1189;15;243;255;Conbaristum;x
#1190;165;0;255;Condate;x
#1191;145;255;212;Cosedia;x
#1192;255;35;46;Augustodurum;x
#1193;45;255;251;Noviomagus;x
#1194;255;238;61;Autricum;x
#1195;213;107;255;Iuliomagus;x
#1196;96;255;123;Bricca;x
#1197;63;255;255;Cenabum;x
#1198;102;119;255;Lutetia;x
#1199;106;255;86;Intaranum;x # North Gaul stop
1200;23;116;56;Ocules;x
1201;106;177;78;Toletum;x
1202;146;177;78;Tamusia;x
1203;61;188;106;Lama;x
1204;7;78;69;Arriaca;x
1205;48;134;123;Miaccum;x
1207;108;150;123;Ocelum;x
1208;130;200;155;Salmantica;x
1209;52;220;111;Nivaria;x
1210;51;90;65;Segovia;x
1211;41;119;109;Termes;x
1212;30;156;140;Clunia;x
1213;40;223;200;Turbes;x
1214;40;191;223;Amallobriga;x
1215;78;113;121;Brigaecium;x
1216;79;152;168;Palantia;x
1217;157;215;227;Aracelium;x
1218;25;174;206;Saldania;x
1219;84;157;172;Virovesca;x
1220;154;94;112;Untikesken;x
1221;45;81;63;Ebusos;x
1222;58;213;134;Cromiussa;x
1223;108;151;129;Nura;x
1224;162;74;74;Maleth;x
#1225;29;29;132;Noviodunum;x # North Gaul continued
#1226;102;49;65;Balbiacus;x
#1227;40;44;255;Noiodounon;x
1228;255;25;36;Tauredunum;x
#1229;175;140;42;Basilia;x
#1230;78;175;61;Velatudurum;x
#1231;58;175;111;Isarnodunum;x
#1232;9;71;229;Ledo;x
#1233;132;24;137;Bibracte;x
#1234;127;137;19;Alesia;x
#1235;137;74;74;Autessiodurum;x
#1236;44;133;137;Metiosedum;x
#1237;137;37;119;Durocatalaunum;x
#1238;27;21;135;Teodeberciaco;x
#1239;79;135;44;Vultaconum;x
#1240;56;135;111;Limonum;x
#1241;135;41;63;Rauranum;x
#1242;131;132;107;Mediolanum;x
#1243;73;16;24;Iculisma;x
#1244;127;25;132;Varatedo;x
#1245;56;73;51;Vesunna;x
#1246;56;15;132;Aginnum;x
#1247;132;13;104;Divona;x
#1248;41;54;73;Segodunum;x
#1249;37;14;73;Anderitum;x
#1250;119;160;255;Briggogalus;x
#1251;43;150;198;Gaudiaco;x
#1252;255;190;137;Segimovicus;x
#1253;255;84;124;Avaricum;x
#1254;255;163;255;Exilodunum;x
#1255;255;28;54;Argentomagus;x
#1256;235;107;255;Excidollum;x
#1257;255;20;24;Cavaniaco;x
#1258;255;194;124;Ricomagus;x
#1259;248;63;255;Rouession;x
#1260;58;137;255;Ariolica;x
#1261;201;255;213;Rotomagus;x # Start of Belgica
#1262;255;150;12;Petromantulum;x
#1263;255;158;73;Iatonon;x
#1264;255;0;127;Isara;x
#1265;255;107;240;Samarobriva;x
#1266;112;255;233;Gesoriacum;x
#1267;255;63;79;Nemetacum;x
#1268;143;255;79;Tarvenna;x
#1269;255;99;247;Turnacum;x
#1270;255;91;102;Helinio;x
#1271;183;79;34;Durocotorum;x
#1272;183;149;14;Bibrax;x
#1273;153;183;139;Bagacum;x
#1274;55;183;181;Geminiacum;x
#1275;255;204;221;Mosomagus;x
#1276;45;183;172;Nasium;x
#1277;91;76;255;Viriodunum;x
#1278;69;183;113;Divodurum;x
#1279;173;17;51;Argentorate;x
#1280;45;45;173;Borbetomagus;x
#1281;173;114;173;Mogontiacum;x
#1282;71;68;255;Dumnissus;x
#1283;183;47;104;Contionacum;x
#1284;160;55;183;Bonna;x
#1285;255;22;220;Belsonancum;x
#1286;30;255;38;Teudurum;x
#1287;108;183;97;Atuatuca;x
#1288;165;134;183;Batavodurum;x
#1289;55;183;172;Asciburgium;x
#1290;151;143;183;Novaesium;x
